t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
15.0,0.0,0.0,2,1,1.38
16.0,6766.0,71.0,4,0,2.76
17.0,540.0,191.0,4,1,2.76
18.0,0.0,203.0,4,1,2.76
19.0,1909.0,122.0,2,0,1.38
20.0,0.0,64.0,2,0,1.38
21.0,2259.0,38.0,3,0,2.07
22.0,3223.0,165.0,2,0,1.38
23.0,0.0,114.0,2,0,1.38
24.0,0.0,69.0,1,0,0.69
25.0,0.0,42.0,2,0,1.38
26.0,4797.0,100.0,2,0,1.38
27.0,0.0,100.0,2,0,1.38
28.0,1640.0,56.0,3,0,2.07
29.0,2922.0,137.0,2,0,1.38
30.0,0.0,114.0,2,0,1.38
31.0,0.0,42.0,0,0,0.0
32.0,1708.0,15.0,1,0,0.69
33.0,0.0,58.0,1,0,0.69
34.0,0.0,58.0,1,0,0.69
35.0,0.0,3.0,0,0,0.0
49.0,1926.0,3.0,1,0,0.69
50.0,0.0,59.0,1,0,0.69
51.0,0.0,59.0,1,0,0.69
52.0,0.0,58.0,1,0,0.69
53.0,0.0,58.0,0,0,0.0
57.0,3343.0,8.0,1,0,0.69
58.0,0.0,40.0,2,0,1.38
59.0,1575.0,112.0,2,0,1.38
60.0,1858.0,53.0,1,0,0.69
61.0,0.0,58.0,1,0,0.69
62.0,0.0,1.0,0,0,0.0
69.0,3908.0,1.0,2,0,1.38
70.0,3053.0,82.0,2,0,1.38
71.0,0.0,102.0,1,0,0.69
72.0,4017.0,36.0,2,0,1.38
73.0,0.0,68.0,1,0,0.69
74.0,0.0,49.0,0,0,0.0
81.0,2811.0,42.0,1,0,0.69
82.0,1042.0,41.0,3,0,2.07
83.0,3044.0,98.0,2,0,1.38
84.0,4005.0,79.0,3,0,2.07
85.0,0.0,168.0,3,0,2.07
86.0,0.0,168.0,3,0,2.07
87.0,2486.0,101.0,2,0,1.38
88.0,0.0,106.0,1,0,0.69
89.0,0.0,58.0,1,0,0.69
90.0,0.0,57.0,1,0,0.69
91.0,0.0,15.0,0,0,0.0
