t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
10.0,3616.0,2.0,1,0,1.23
11.0,0.0,34.0,1,0,1.23
12.0,602.0,30.0,2,0,2.47
13.0,2548.0,38.0,3,0,3.7
14.0,0.0,93.0,3,0,3.7
15.0,0.0,96.0,3,0,3.7
16.0,540.0,82.0,3,0,3.7
17.0,1909.0,76.0,4,0,4.94
18.0,0.0,96.0,2,0,2.47
19.0,0.0,66.0,2,0,2.47
20.0,0.0,58.0,3,0,3.7
21.0,2259.0,25.0,4,0,4.94
22.0,3223.0,78.0,3,0,3.7
23.0,0.0,96.0,3,0,3.7
24.0,0.0,72.0,2,0,2.47
25.0,0.0,41.0,2,0,2.47
26.0,4797.0,38.0,3,0,3.7
27.0,0.0,93.0,4,0,4.94
28.0,1640.0,89.0,4,1,4.94
29.0,2922.0,68.0,4,0,4.94
30.0,0.0,124.0,4,0,4.94
31.0,0.0,104.0,3,0,3.7
32.0,1708.0,63.0,3,0,3.7
33.0,0.0,93.0,3,0,3.7
34.0,0.0,48.0,1,0,1.23
35.0,0.0,35.0,1,0,1.23
36.0,0.0,24.0,0,0,0.0
49.0,1926.0,5.0,1,0,1.23
50.0,0.0,34.0,1,0,1.23
51.0,0.0,34.0,1,0,1.23
52.0,0.0,34.0,1,0,1.23
53.0,0.0,33.0,1,0,1.23
54.0,0.0,34.0,1,0,1.23
55.0,0.0,34.0,1,0,1.23
56.0,0.0,29.0,0,0,0.0
57.0,3343.0,1.0,1,0,1.23
58.0,0.0,25.0,2,0,2.47
59.0,1575.0,63.0,2,0,2.47
60.0,1858.0,49.0,3,0,3.7
61.0,0.0,87.0,2,0,2.47
62.0,0.0,47.0,0,0,0.0
69.0,0.0,0.0,1,0,1.23
70.0,6961.0,32.0,2,0,2.47
71.0,0.0,66.0,2,0,2.47
72.0,0.0,28.0,3,0,3.7
73.0,4017.0,85.0,2,0,2.47
74.0,0.0,64.0,2,0,2.47
75.0,0.0,49.0,1,0,1.23
76.0,0.0,14.0,0,0,0.0
80.0,0.0,0.0,1,0,1.23
81.0,2811.0,24.0,1,0,1.23
82.0,1042.0,25.0,3,0,3.7
83.0,3044.0,55.0,3,0,3.7
84.0,4005.0,43.0,4,0,4.94
85.0,0.0,116.0,3,0,3.7
86.0,0.0,102.0,3,0,3.7
87.0,2486.0,56.0,4,0,4.94
88.0,0.0,124.0,4,0,4.94
89.0,0.0,124.0,4,0,4.94
90.0,0.0,118.0,3,0,3.7
91.0,0.0,72.0,2,0,2.47
92.0,0.0,38.0,1,0,1.23
93.0,0.0,34.0,1,0,1.23
94.0,0.0,2.0,0,0,0.0
