t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
1.0,1991.0,77.0,1,0,0.88
2.0,0.0,3.0,0,0,0.0
10.0,1408.0,144.0,1,0,0.88
11.0,3221.0,159.0,2,0,1.77
12.0,1377.0,231.0,3,0,2.65
13.0,0.0,99.0,0,0,0.0
15.0,1938.0,130.0,2,0,1.77
16.0,1730.0,149.0,0,0,0.0
19.0,1023.0,142.0,1,0,0.88
20.0,0.0,74.0,0,0,0.0
26.0,1499.0,29.0,1,0,0.88
27.0,0.0,38.0,0,0,0.0
34.0,1816.0,27.0,2,0,1.77
35.0,3217.0,215.0,3,0,2.65
36.0,0.0,276.0,2,0,1.77
37.0,437.0,157.0,1,0,0.88
38.0,0.0,154.0,0,0,0.0
41.0,768.0,90.0,1,0,0.88
42.0,1068.0,138.0,2,0,1.77
43.0,3572.0,186.0,4,0,3.54
44.0,0.0,360.0,4,0,3.54
45.0,0.0,151.0,0,0,0.0
47.0,1750.0,93.0,1,0,0.88
48.0,1635.0,178.0,1,0,0.88
49.0,0.0,35.0,0,0,0.0
52.0,1511.0,51.0,1,0,0.88
53.0,0.0,67.0,0,0,0.0
54.0,1285.0,67.0,0,0,0.0
60.0,1494.0,98.0,1,0,0.88
61.0,739.0,35.0,1,0,0.88
62.0,0.0,158.0,1,0,0.88
63.0,0.0,5.0,0,0,0.0
64.0,1263.0,145.0,2,0,1.77
65.0,0.0,230.0,1,0,0.88
66.0,0.0,2.0,0,0,0.0
67.0,2045.0,140.0,1,0,0.88
68.0,471.0,136.0,1,0,0.88
69.0,1662.0,235.0,2,0,1.77
70.0,256.0,264.0,2,0,1.77
71.0,0.0,200.0,0,0,0.0
