prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,4,16,31474.1
0,0,4,32,29877.3
0,0,4,64,30145.9
0,0,4,128,30015.8
0,0,4,256,30309.6
0,0,4,512,30235.1
0,0,4,1024,30420.4
0,0,4,2048,30231.1
0,0,4,4096,30299
0,0,4,8192,33027.8
0,0,4,16384,35841.3
0,0,4,32768,41376.6
1024,0,0,0,136735
1024,16,0,0,136779
1024,32,0,0,136570
1024,64,0,0,136574
1024,128,0,0,136646
1024,256,0,0,136851
1024,512,0,0,137041
1024,1024,0,0,138917
1024,2048,0,0,142146
1024,4096,0,0,146375
1024,8192,0,0,158486
1024,16384,0,0,181662
1024,32768,0,0,225798
