stage,prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,0,1,16,5558.9
0,0,0,1,32,4601.73
0,0,0,1,64,4617.55
0,0,0,1,128,4613.8
0,0,0,1,256,4585.05
0,0,0,1,512,4629.97
0,0,0,1,1024,4640.9
0,0,0,1,2048,4637.81
0,0,0,1,4096,4696.14
0,0,0,1,8192,4915.32
0,0,0,1,16384,5217.35
0,0,0,2,16,5901.68
0,0,0,2,32,5594.31
0,0,0,2,64,5616.5
0,0,0,2,128,5583.3
0,0,0,2,256,5526.9
0,0,0,2,512,5477.38
0,0,0,2,1024,5632.65
0,0,0,2,2048,5658.7
0,0,0,2,4096,5829.04
0,0,0,2,8192,7109.82
0,0,0,2,16384,7795.91
0,0,0,4,16,8385.98
0,0,0,4,32,7064.85
0,0,0,4,64,7060.35
0,0,0,4,128,7200.59
0,0,0,4,256,7207.52
0,0,0,4,512,7284.61
0,0,0,4,1024,7247.12
0,0,0,4,2048,7321.62
0,0,0,4,4096,7430.21
0,0,0,4,8192,8992.38
0,0,0,4,16384,10869.1
0,0,0,8,16,11156.7
0,0,0,8,32,10791.1
0,0,0,8,64,10002.8
0,0,0,8,128,9960.22
0,0,0,8,256,10187.3
0,0,0,8,512,10201.5
0,0,0,8,1024,10279.9
0,0,0,8,2048,10189.8
0,0,0,8,4096,10633.7
0,0,0,8,8192,12692.8
0,0,0,8,16384,16334.6
0,1024,0,0,0,85278.6
0,1024,16,0,0,84442.8
0,1024,32,0,0,83964.9
0,1024,64,0,0,82136.2
0,1024,128,0,0,82950.8
0,1024,256,0,0,83962.3
0,1024,512,0,0,84207.3
0,1024,1024,0,0,84715.6
0,1024,2048,0,0,87486
0,1024,4096,0,0,94531.6
0,1024,8192,0,0,106791
0,1024,16384,0,0,127270
